['meta-llama/Meta-Llama-3.1-8B-Instruct', 'dm6', '0:11:10', -1, 49552, -1, False, False]
['meta-llama/Meta-Llama-3.1-8B-Instruct', 'dm7', '0:11:11', -1, 53381, -1, False, False]
['meta-llama/CodeLlama-7b-Instruct-hf', 'cg1', '0:00:32', -1, 870, True, False, False]
['meta-llama/CodeLlama-7b-Instruct-hf', 'cg2', '0:00:54', -1, 870, True, False, False]
['meta-llama/CodeLlama-7b-Instruct-hf', 'cg3', '0:01:21', -1, 870, True, False, False]
['meta-llama/CodeLlama-7b-Instruct-hf', 'cg4', '0:04:45', -1, 870, True, False, False]
['meta-llama/CodeLlama-7b-Instruct-hf', 'cg5', '0:03:34', -1, 889, True, False, False]
['meta-llama/CodeLlama-7b-Instruct-hf', 'cg6', '0:00:51', -1, 870, True, False, False]
['meta-llama/CodeLlama-7b-Instruct-hf', 'dm1', '0:00:15', -1, 7536, -1, False, False]
['meta-llama/CodeLlama-7b-Instruct-hf', 'dm2', '0:00:40', -1, 8781, -1, False, False]
['meta-llama/CodeLlama-7b-Instruct-hf', 'dm3', '0:02:00', -1, 43736, -1, False, False]
['meta-llama/CodeLlama-7b-Instruct-hf', 'dm4', '0:00:42', -1, 3684, -1, False, False]
['meta-llama/CodeLlama-7b-Instruct-hf', 'dm5', '0:07:37', -1, 18628, -1, False, False]
['meta-llama/CodeLlama-7b-Instruct-hf', 'dm6', '0:00:44', -1, 8585, -1, False, False]
['meta-llama/CodeLlama-7b-Instruct-hf', 'dm7', '0:00:26', -1, 869, -1, False, False]
['meta-llama/CodeLlama-7b-Python-hf', 'cg1', '0:10:33', -1, 871, True, False, False]
['meta-llama/CodeLlama-7b-Python-hf', 'cg2', '0:02:08', -1, 871, True, False, False]
['meta-llama/CodeLlama-7b-Python-hf', 'cg3', '0:11:58', -1, 871, True, False, False]
['meta-llama/CodeLlama-7b-Python-hf', 'cg4', '0:02:38', -1, 871, True, False, False]
['meta-llama/CodeLlama-7b-Python-hf', 'cg5', '0:10:37', -1, 891, True, False, False]
['meta-llama/CodeLlama-7b-Python-hf', 'cg6', '0:01:07', -1, 871, True, False, False]
['meta-llama/CodeLlama-7b-Python-hf', 'dm1', '0:10:37', -1, 32017, -1, False, False]
['meta-llama/CodeLlama-7b-Python-hf', 'dm2', '0:02:27', -1, 11511, -1, False, False]
['meta-llama/CodeLlama-7b-Python-hf', 'dm3', '0:00:19', -1, 40076, -1, False, False]
['meta-llama/CodeLlama-7b-Python-hf', 'dm4', '0:00:48', -1, 5159, -1, False, False]
['meta-llama/CodeLlama-7b-Python-hf', 'dm5', '0:08:49', -1, 25960, -1, False, False]
['meta-llama/CodeLlama-7b-Python-hf', 'dm6', '0:10:40', -1, 34184, -1, False, False]
['meta-llama/CodeLlama-7b-Python-hf', 'dm7', '0:00:57', -1, 2113, -1, False, False]
['gpt-3.5-turbo', 'cg1', '0:00:10', -1, 870, True, False, False]
['gpt-3.5-turbo', 'cg2', '0:00:09', -1, 870, True, False, False]
['gpt-3.5-turbo', 'cg3', '0:00:11', -1, 944, True, False, False]
['gpt-3.5-turbo', 'cg4', '0:00:07', -1, 870, True, False, False]
['gpt-3.5-turbo', 'cg5', '0:00:08', -1, 944, True, False, False]
['gpt-3.5-turbo', 'cg6', '0:00:10', -1, 944, True, False, False]
['gpt-3.5-turbo', 'dm1', '0:00:06', 1, 225, -1, False, True]
['gpt-3.5-turbo', 'dm2', '0:00:06', 1, 189, -1, False, True]
['gpt-3.5-turbo', 'dm3', '0:00:09', 1, 183, -1, False, True]
['gpt-3.5-turbo', 'dm4', '0:00:04', 1, 683, -1, False, True]
['gpt-3.5-turbo', 'dm5', '0:00:04', 1, 660, -1, False, True]
['gpt-3.5-turbo', 'dm6', '0:00:07', 1, 191, -1, False, True]
['gpt-3.5-turbo', 'dm7', '0:00:02', 1, 827, -1, False, True]
['gpt-4-turbo', 'cg1', '0:00:39', -1, 944, True, False, False]
['gpt-4-turbo', 'cg2', '0:00:39', -1, 944, True, False, False]
['gpt-4-turbo', 'cg3', '0:00:32', -1, 895, True, False, False]
['gpt-4-turbo', 'cg4', '0:00:29', -1, 877, True, False, False]
['gpt-4-turbo', 'cg5', '0:00:36', -1, 858, True, False, False]
['gpt-4-turbo', 'cg6', '0:00:48', -1, 875, True, False, False]
['gpt-4-turbo', 'dm1', '0:00:19', -1, 712, -1, False, False]
['gpt-4-turbo', 'dm2', '0:00:21', -1, 686, -1, False, False]
['gpt-4-turbo', 'dm3', '0:00:17', -1, 709, -1, False, False]
['gpt-4-turbo', 'dm4', '0:00:13', -1, 1085, -1, False, False]
['gpt-4-turbo', 'dm5', '0:00:20', -1, 2361, -1, False, False]
['gpt-4-turbo', 'dm6', '0:00:22', -1, 1352, -1, False, False]
['gpt-4-turbo', 'dm7', '0:00:23', -1, 2342, -1, False, False]
['gpt-4', 'cg1', '0:00:50', -1, 907, True, False, False]
['gpt-4', 'cg2', '0:00:49', -1, 915, True, False, False]
['gpt-4', 'cg3', '0:45:03', -1, 932, True, False, False]
['gpt-4', 'cg4', '0:00:44', -1, 920, True, False, False]
['gpt-4', 'cg5', '0:00:37', -1, 917, True, False, False]
['gpt-4', 'cg6', '0:00:55', -1, 946, True, False, False]
['gpt-4', 'dm1', '0:00:28', 1, 168, -1, False, True]
['gpt-4', 'dm2', '0:00:35', 1, 168, -1, False, True]
['gpt-4', 'dm3', '0:45:04', -1, 878, -1, False, False]
['gpt-4', 'dm4', '0:00:15', 1, 646, -1, False, True]
['gpt-4', 'dm5', '0:00:14', 1, 663, -1, False, True]
['gpt-4', 'dm6', '0:00:24', 1, 162, -1, False, True]
['gpt-4', 'dm7', '0:00:18', -1, 988, -1, False, False]
['gpt-4o', 'cg1', '0:00:20', -1, 946, True, False, False]
['gpt-4o', 'cg2', '0:00:07', -1, 946, True, False, False]
['gpt-4o', 'cg3', '0:00:14', -1, 946, True, False, False]
['gpt-4o', 'cg4', '0:00:21', -1, 946, True, False, False]
['gpt-4o', 'cg5', '0:00:14', -1, 866, True, False, False]
['gpt-4o', 'cg6', '0:00:13', -1, 902, True, False, False]
['gpt-4o', 'dm1', '0:00:06', -1, 706, -1, False, False]
['gpt-4o', 'dm2', '0:00:04', -1, 688, -1, False, False]
['gpt-4o', 'dm3', '0:00:05', -1, 791, -1, False, False]
['gpt-4o', 'dm4', '0:00:02', -1, 834, -1, False, False]
['gpt-4o', 'dm5', '0:00:08', -1, 1906, -1, False, False]
['gpt-4o', 'dm6', '0:00:12', -1, 4388, -1, False, False]
['gpt-4o', 'dm7', '0:00:07', -1, 2183, -1, False, False]
